# Energy	DeltaT=25	DeltaT=50	DeltaT=100	DeltaT=150	DeltaT=200	DeltaT=300	
0.001	0.0547879201021082	0.0262394061587932	0.0295147783214922	0.0619991653856442	0.088827151118038	0.0936111130677537
0.0035	-0.0687783666900176	-0.0687042607844958	-0.00170332174049657	0.0586992104436947	0.11392279508892	0.21326909065595
0.006	-0.0872219981569011	-0.0487031695982117	0.0603510141007123	0.145149035524551	0.223756625675092	0.363700522674127
0.0085	-0.0347786458496577	0.0359546423873991	0.16589157163847	0.268162933819786	0.362979716582963	0.507511428881775
0.011	0.052565128967098	0.135287773627891	0.265496469682975	0.374759166377321	0.476675998017708	0.607688516131038
0.0135	0.13104897904836	0.202712114332095	0.314831219839449	0.416940764107855	0.516750209029184	0.633565876318362
0.016	0.167298974551632	0.211993188988327	0.297267334379995	0.380431819395356	0.472185469666718	0.581503235885968
0.0185	0.152194175936307	0.169251598324506	0.23273056160073	0.295521699595169	0.377658328891389	0.477823869912335
0.021	0.0927489565748089	0.0933119282834477	0.147196925451626	0.194556289300085	0.267231774553076	0.351941557710488
0.0235	0.0174945461493679	0.0143833930407671	0.0681608349667354	0.103868149646718	0.167591500526399	0.236279711510876
0.026	-0.0476046808645394	-0.0431493606870923	0.0160052862366978	0.0423156200717075	0.0986480571286548	0.156210844538594
0.0285	-0.0910910286753004	-0.0705145849690463	-0.00257796306704652	0.0166283602020334	0.06709500802576	0.117380438101103
0.031	-0.104617070892826	-0.0611823148018225	0.0193945701511565	0.0338168229232559	0.0789164066181211	0.123146619015028
0.0335	-0.0910739590984755	-0.0208965068445222	0.0749766087140303	0.0863389901938512	0.126041534660151	0.164325425125821
0.036	-0.063276545479988	0.0340207814686396	0.144325018475875	0.15353023374035	0.188178035706446	0.220890790326829
0.0385	-0.0319362846162509	0.0895924731908143	0.210410286586383	0.218012055902395	0.248572791343746	0.276350555929197
0.041	0.00457713499326499	0.146286027939018	0.273252395403968	0.279567135436059	0.306928730035112	0.33045422160429
0.0435	0.0452657718216059	0.202308245838058	0.331357821817652	0.336427750338477	0.361142301482932	0.381152944096954
